query,severity,total_impressions,num_urls,avg_position,intended_url,intended_src,intended_words,intended_in_links,intended_top_anchors,intended_tok_hits,actual_winner,actual_src,actual_words,actual_in_links,actual_top_anchors,actual_tok_hits,is_misaligned,intended_imp,winner_imp
commercial vent hood repair cost,CRITICAL,2337,2,6.81,/,src/pages/index.astro,178,287,home(284)|samedayappliance.repair(2)|same day appliance repair(1),15,/price-list/commercial-exhaust-hood-repair-cost/,src/pages/price-list/commercial-exhaust-hood-repair-cost.astro,4460,16,commercial exhaust hood repair cost guide(6)|commercial hood repair cost guide →(3)|commercial exhaust hood repair cost(2),245,True,0,2116
commercial exhaust hood repair cost,CRITICAL,1438,2,7.23,/,src/pages/index.astro,178,287,home(284)|samedayappliance.repair(2)|same day appliance repair(1),15,/price-list/commercial-exhaust-hood-repair-cost/,src/pages/price-list/commercial-exhaust-hood-repair-cost.astro,4460,16,commercial exhaust hood repair cost guide(6)|commercial hood repair cost guide →(3)|commercial exhaust hood repair cost(2),296,True,0,1032
appliance repair near me,CRITICAL,409,12,6.57,/,src/pages/index.astro,178,287,home(284)|samedayappliance.repair(2)|same day appliance repair(1),0,/west-hollywood/,src/pages/west-hollywood.astro,172,105,west hollywood(80)|west hollywood service area(12)|appliance repair west hollywood(9),0,True,0,179
appliance repair west hollywood,CRITICAL,209,1,6.0,/hollywood/,src/pages/hollywood.astro,85,6,hollywood(4)|hollywood service area(2),107,/west-hollywood/,src/pages/west-hollywood.astro,172,105,west hollywood(80)|west hollywood service area(12)|appliance repair west hollywood(9),148,True,0,209
refrigerator repair,CRITICAL,207,10,20.11,/services/refrigerator-repair/,src/pages/services/refrigerator-repair.astro,2865,98,"refrigerator repair(38)|refrigerator repair (service hub) →(14)|❄️refrigerator repairall brands, all types. $200–$450 typical. sub-zero and luxury brands serviced.(5)",88,/west-hollywood/,src/pages/west-hollywood.astro,172,105,west hollywood(80)|west hollywood service area(12)|appliance repair west hollywood(9),7,True,0,64
oven repair,CRITICAL,198,8,12.39,/services/oven-repair/,src/pages/services/oven-repair.astro,2541,58,oven repair(16)|oven repair service hub →(16)|oven &amp; range repair(11),104,/los-angeles/,src/pages/los-angeles.astro,172,51,appliance repair los angeles(40)|los angeles(10)|los angeles →(1),8,True,0,52
dryer repair,CRITICAL,183,8,15.79,/services/dryer-repair/,src/pages/services/dryer-repair.astro,3496,53,dryer repair(27)|💨dryer repairgas and electric. dryer vent inspection included when relevant.(5)|dryer repair service(3),149,/west-hollywood/,src/pages/west-hollywood.astro,172,105,west hollywood(80)|west hollywood service area(12)|appliance repair west hollywood(9),9,True,0,64
bosch appliance repair,CRITICAL,167,2,1.0,/brands/bosch/,src/pages/brands/bosch.astro,1602,7,bosch(7),116,/west-hollywood/,src/pages/west-hollywood.astro,172,105,west hollywood(80)|west hollywood service area(12)|appliance repair west hollywood(9),13,True,0,134
refrigerator repair near me,CRITICAL,162,7,5.34,/services/refrigerator-repair/,src/pages/services/refrigerator-repair.astro,2865,98,"refrigerator repair(38)|refrigerator repair (service hub) →(14)|❄️refrigerator repairall brands, all types. $200–$450 typical. sub-zero and luxury brands serviced.(5)",88,/west-hollywood/,src/pages/west-hollywood.astro,172,105,west hollywood(80)|west hollywood service area(12)|appliance repair west hollywood(9),7,True,0,66
walk-in freezer repair near me,CRITICAL,153,1,44.4,/services/refrigerator-repair/,src/pages/services/refrigerator-repair.astro,2865,98,"refrigerator repair(38)|refrigerator repair (service hub) →(14)|❄️refrigerator repairall brands, all types. $200–$450 typical. sub-zero and luxury brands serviced.(5)",22,/,src/pages/index.astro,178,287,home(284)|samedayappliance.repair(2)|same day appliance repair(1),3,True,0,153
dishwasher repair,CRITICAL,152,9,23.83,/services/dishwasher-repair/,src/pages/services/dishwasher-repair.astro,2957,68,"dishwasher repair (service hub) →(24)|dishwasher repair(22)|🍽️dishwasher repairall brands. miele, bosch, kitchenaid, samsung. $150–$320.(4)",100,/pasadena/,src/pages/pasadena.astro,148,150,pasadena(145)|pasadena service area(4)|pasadena →(1),7,True,0,39
lg repair west hollywood,CRITICAL,142,1,1.0,/brands/lg/,src/pages/brands/lg.astro,2392,4,lg(3)|lg (including washtower + washcombo)(1),176,/west-hollywood/,src/pages/west-hollywood.astro,172,105,west hollywood(80)|west hollywood service area(12)|appliance repair west hollywood(9),156,True,0,142
same day appliance repair topanga,CRITICAL,134,10,58.42,/,src/pages/index.astro,178,287,home(284)|samedayappliance.repair(2)|same day appliance repair(1),0,/los-angeles/,src/pages/los-angeles.astro,172,51,appliance repair los angeles(40)|los angeles(10)|los angeles →(1),0,True,0,25
stove repair,CRITICAL,112,5,25.21,/services/oven-repair/,src/pages/services/oven-repair.astro,2541,58,oven repair(16)|oven repair service hub →(16)|oven &amp; range repair(11),0,/services/stove-repair-los-angeles/,src/pages/[city]/[service].astro,184,0,—,0,True,0,48
freezer repair cost,CRITICAL,109,4,56.74,/price-list/refrigerator-repair-cost/,src/pages/price-list/refrigerator-repair-cost.astro,1674,77,refrigerator repair cost guide(31)|refrigerator repair cost guide →(29)|refrigerator repair cost(15),4,/price-list/freezer-repair-cost/,src/pages/price-list/freezer-repair-cost.astro,1633,9,"freezer repair cost(7)|freezer repair $200–$440 labor only view rates &#8594;(1)|freezerstandalone freezer, chest, upright.(1)",45,True,17,39
washing machine repair,CRITICAL,101,3,2.78,/services/washer-repair/,src/pages/services/washer-repair.astro,2817,63,"washer repair(30)|washer repair (service hub)(5)|👕washer repairfront-load, top-load, stacked. $150–$350 typical.(4)",22,/west-hollywood/,src/pages/west-hollywood.astro,172,105,west hollywood(80)|west hollywood service area(12)|appliance repair west hollywood(9),1,True,0,62
appliance repair,CRITICAL,100,8,16.78,/,src/pages/index.astro,178,287,home(284)|samedayappliance.repair(2)|same day appliance repair(1),0,/pasadena/,src/pages/pasadena.astro,148,150,pasadena(145)|pasadena service area(4)|pasadena →(1),0,True,0,39
